new-id;id;term;conc term ;definition;isSuperType;max-expressiveness;altLabel1;altLabel2;altLabel3;altLabel4;altLabel5;source;sourceCited;link;notes;parent-class-name;grandparent-class-name;grand-grandparent-class-name;parent-class-id;grandparent-class-id;grand-grandparent-class-id
t274;t274; alphanumeric classification ;;;1;;;;;;;;;;;;;;t261;;
t269;t269; application model ;;;1;;;;;;;;;;;;;;t256;;
t268;t268; categorisation ;;;1;;;;;;;;;;;;;;t253;;
t261;t261; classification (broad) ;;;1;;;;;;;;;;;;;;t253;;
t259;t259; code list ;;;1;;;;;;;;;;;;;;t252;;
t258;t258; conceptual model ;;;1;;;;;;;;;;;;;;t250;;
t272;t272; core model ;;;1;;;;;;;;;;;;;;t256;;
t257;t257; data model (format) ;;;1;;;;;;;;;;;;;;t250;;
t262;t262; dictionary ;;;1;;;;;;;;;;;;;;t252;;
t276;t276; enumerative classification ;;;1;;;;;;;;;;;;;;t261;;
t279;t279; faceted classification ;;;1;;;;;;;;;;;;;;t261;;
t217;t217; flat list of preferred terms;t217  flat list of preferred terms;A flat list of preferred terms is an established list of standardized terminology for use in indexing and retrieval of information. It may or may not be arranged in alphabetical order and it does not display relationships between terms. A flat list is normally restricted to a specific kind of information (e.g. types of documents, categories of users). It is usually relatively short.;0;1;;;;;;canadian gov;;http://www.bac-lac.gc.ca/eng/services/government-information-resources/controlled-vocabularies/Pages/how-to-register-controlled-vocabulary.aspx;;flat term list ;term list ;;t266;t252;
t217;t266; flat term list ;;;1;;;;;;;;;;;;;;t252;;
t275;t275; format / combination rules ;;;1;;;;;;;;;;;;;;t257;;
t263;t263; glossary ;;;1;;;;;;;;;;;;;;t252;;
t278;t278; interface ;;;1;;;;;;;;;;;;;;t257;;
t277;t277; internal structure ;;;1;;;;;;;;;;;;;;t257;;
t256;t256; logical model ;;;1;;;;;;;;;;;;;;t250;;
t273;t273; metadata model ;;;1;;;;;;;;;;;;;;t257;;
t260;t260; NAL ;;;1;;;;;;;;;;;;;;t252;;
t270;t270; statistical classification ;;;1;;;;;;;;;;;;;;t261;;
t280;t280; subject based classification ;;;1;;;;;;;;;;;;;;t261;;
t264;t264; subject list ;;;1;;;;;;;;;;;;;;t252;;
t267;t267; synonym ring ;;;1;;;;;;;;;;;;;;t252;;
t271;t271; taxonomy ;;;1;;;;;;;;;;;;;;t261;;
t265;t265; thesauri ;;;1;;;;;;;;;;;;;;t253;;
t274;t194;alphanumeric classification schemes;t194 alphanumeric classification schemes;Alphanumeric classification schemes are controlled codes (letters or numbers, or both letters and numbers) that represent concepts or headings. They generally have an implied taxonomy that can be surmised from the codes.;0;6;;;;;;Harpring 2014;;;;alphanumeric classification ; classification (broad) ;classification ;t274;t261;t253
t269;t125;application model;t125 application model;application model : logical model aimed at a specific application situation in a defined context;0;11;;;;;;Danish gov digital data strategy 2016-2020;;https://arkitektur.digst.dk/sites/default/files/rules_for_concept_and_data_modelling_-_in_english.pdf;;application model ; logical model ;model ;t269;t256;t250
t269;t1;application profile;t1 application profile;In the computer information sciences, an application profile consists of a set of metadata elements, policies, and guidelines defined for a particular application. ;0;10;ap;;;;;Dublin Core;NISO TR-06-2017;http://www.dublincore.org/documents/2001/04/12/usageguide/glossary/;;application model ; logical model ;model ;t269;t256;t250
t269;t128;application profile;t128 application profile;application profile : application model that by means profiling reuses selected elements from one or more vocabularies based on the RDF description framework;0;14;;;;;;Danish gov digital data strategy 2016-2020;;https://arkitektur.digst.dk/sites/default/files/rules_for_concept_and_data_modelling_-_in_english.pdf;;application model ; logical model ;model ;t269;t256;t250
t278;t2;application programming interface;t2 application programming interface; An Application Programming Interface (API) is a machine endpoint designed to provide programmatic, often high-level, access to data and/or virtual machines via a standardized protocol. ;0;8;api;;;;;wikipedia;NISO TR-06-2017;https://en.wikipedia.org/wiki/Application_programming_interface;;interface ; data model (format) ;model ;t278;t257;t250
t130;t130;application shema;t130 application shema;…;0;8;;;;;;inspire metadata;;;;data model (format) ;model ;;t257;t250;
t252;t192;authority file;t192 authority file;An authority file is a set of established names or headings and cross-references to the preferred form from variant or alternate forms. Common types of authority files are name authority files and subject heading authority files. However, any listing of terms, names, or headings that distinguishes between a preferred term, name, or heading and alternate or variant names may be used as an authority. In other words, almost any type of controlled vocabulary—with the exception of a synonym ring list—may be used as an authority.;1;3;authority list;;;;;Harpring 2012;;;;term list ;;;t252;;
t201;t201;authority file;t201 authority file;An authority file is similar to the synonym ring, with the addition of one type of term relationship. Instead of all of the terms being equal, one term is identified as the preferred term and the others are considered variant terms.;0;2;;;;;;dlese;;http://www.dlese.org/Metadata/vocabularies/term_expln.php;;glossary ;term list ;;t263;t252;
t252;t207;authority file;t207 authority file;A list of the authoritative forms of the headings used in a library catalog or file of bibliographic records, maintained to ensure that headings are applied consistently as new items are added to the collection. Separate authority files are usually maintained for names, uniform titles, series titles, and subjects. All the references made to and from a given heading are also included in the file. See also: authority control. ;1;2;;;;;;odlis;;https://www.abc-clio.com/ODLIS/odlis_c.aspx;;term list ;;;t252;;
t252;t3;authority file;t3 authority file;A set of established headings and the cross-references to be made to and from each heading, often citing the authority for the preferred form or variants. Types of authority file include name authority files and subject authority files.;1;3;value vocabulary;;;;;ANSI/NISO Z39 R2010;NISO TR-06-2017;https://groups.niso.org/apps/group_public/download.php/12591/z39-19-2005r2010.pdf;;term list ;;;t252;;
t252;t34;authority file;t34 authority file;A collection of authority records that shows the preferred form of a personal or corporate name, geographic region or subjects. Records indicates variant forms of the established heading.;0;1;;;;;;Dublin Core;;http://www.dublincore.org/documents/2001/04/12/usageguide/glossary/;;term list ;;;t252;;
t201;t82;authority file;t82 authority file;authority file is similar to a synonym ring, the only difference being that it consists of UF/USE relationships instead of synonym relationships. So in an authority file one term in each synonym ring is indicated as being the preferred term for that subject.;0;2;;;;;;;Garshol 2004;https://web.archive.org/web/20081017174807/http://www.ontopia.net/topicmaps/materials/tm-vs-thesauri.html;;glossary ;term list ;;t263;t252;
t201;t181;authority files;t181 authority files;An authority fi le is a controlled vocabulary which includes synonyms or variants for each term which function as cross-references to guide the user from an ‘ non-preferred term ’variant to the equivalent ‘ preferred term ’ . In addition, authority fi les may provide a note for each term as to the authoritative source for the preferred term as it is worded. The designation ‘ authority fi le ’is used more often with named entities (proper nouns) only, and often authority fi les are simply called ‘ controlled vocabularies;1;3;named authority files; controlled vocabulary;;;;Hedden 2010;;https://link.springer.com/content/pdf/10.1057%2Fdam.2010.29.pdf;;glossary ;term list ;;t263;t252;
