Id;;parent-class-id;grandparent-class-id;grand-grandparent-class-id;parent-class-id;grandparent-class-id;grand-grandparent-class-id
t1; application profile ;application model ; logical model ;model ;t269;t256;t250
t10; knowledge organization systems (kos) ;controlled resource ;;;t251;;
t100; data element ;data model (format) ;model ;;t257;t250;
t101; conceptual model ;conceptual model ;model ;;t258;t250;
t102; concept system ;conceptual model ;model ;;t258;t250;
t103; data model ;data model (format) ;model ;;t257;t250;
t104; terminological system ;code list ;term list ;;t259;t252;
t105; classification scheme ;classification ;;;t253;;
t106; named authority list ;NAL ;term list ;;t260;t252;
t107; controlled vocabulary ;controlled resource ;;;t251;;
t108; mapping ;mapping ;;;t254;;
t109; reference asset ;term list ;;;t252;;
t11; linked open data ;data model (format) ;model ;;t257;t250;
t110; code list ;code list ;term list ;;t259;t252;
t111; classification ;statistical classification ; classification (broad) ;classification ;t270;t261;t253
t112; taxonomy ;taxonomy ; classification (broad) ;classification ;t271;t261;t253
t113; code list ;code list ;term list ;;t259;t252;
t114; structured vocabulary ;conceptual model ;model ;;t258;t250;
t115; code list ;code list ;term list ;;t259;t252;
t116; data dictionary ;data model (format) ;model ;;t257;t250;
t117; value domain ;data model (format) ;model ;;t257;t250;
t118; data element dictionary ;data model (format) ;model ;;t257;t250;
t119; code space ;data model (format) ;model ;;t257;t250;
t12; mapping ;mapping ;;;t254;;
t120; concept model ;conceptual model ;model ;;t258;t250;
t121; concept list ;conceptual model ;model ;;t258;t250;
t122; concept model ;conceptual model ;model ;;t258;t250;
t123; logical model ;logical model ;model ;;t256;t250;
t124; core model ;core model ; logical model ;model ;t272;t256;t250
t125; application model ;application model ; logical model ;model ;t269;t256;t250
t126; logical model in rdf ;logical model ;model ;;t256;t250;
t127; structured vocabulary ;conceptual model ;model ;;t258;t250;
t128; application profile ;application model ; logical model ;model ;t269;t256;t250
t129; code list ;code list ;term list ;;t259;t252;
t13; metadata ;metadata model ; data model (format) ;model ;t273;t257;t250
t130; application shema ;data model (format) ;model ;;t257;t250;
t131; feature concept dictionary  ;dictionary ;term list ;;t262;t252;
t132; glossary ;glossary ;term list ;;t263;t252;
t133; theme register ;subject list ;term list ;;t264;t252;
t134; reference document register ;controlled resource ;;;t251;;
t135; code list register  ;code list ;term list ;;t259;t252;
t136; metadata code list ;metadata model ; data model (format) ;model ;t273;t257;t250
t137; register ;code list ;term list ;;t259;t252;
t138; metadata element  ;metadata model ; data model (format) ;model ;t273;t257;t250
t139; value domain ;data model (format) ;model ;;t257;t250;
t14; name authority list ;NAL ;term list ;;t260;t252;
t140; classification ;classification ;;;t253;;
t141; code ;alphanumeric classification ; classification (broad) ;classification ;t274;t261;t253
t142; coding structure ;alphanumeric classification ; classification (broad) ;classification ;t274;t261;t253
t143; concept ;conceptual model ;model ;;t258;t250;
t144; structured vocabulary  ;conceptual model ;model ;;t258;t250;
t145; correspondance table ;mapping ;;;t254;;
t146; category ;classification ;;;t253;;
t147; format ;format / combination rules ; data model (format) ;model ;t275;t257;t250
t148; framework ;thesauri ;classification ;;t265;t253;
t149; hierarchy ;taxonomy ; classification (broad) ;classification ;t271;t261;t253
t15; ontology ;logical model ;model ;;t256;t250;
t150; nomemclature ;classification (broad) ;classification ;;t261;t253;
t151; reference classification ;classification ;;;t253;;
t152; standard classification ;classification ;;;t253;;
t153; statistical classification ;statistical classification ; classification (broad) ;classification ;t270;t261;t253
t154; structural links ;mapping ;;;t254;;
t155; term ;term list ;;;t252;;
t156; terminology ;taxonomy ; classification (broad) ;classification ;t271;t261;t253
t157; hierarchical code list ;alphanumeric classification ; classification (broad) ;classification ;t274;t261;t253
t158; thesaurus ;thesauri ;classification ;;t265;t253;
t159; subject headings ;subject list ;term list ;;t264;t252;
t16; properties ;data model (format) ;model ;;t257;t250;
t160; name authority file ;NAL ;term list ;;t260;t252;
t161; classification ;alphanumeric classification ; classification (broad) ;classification ;t274;t261;t253
t162; classification scheme ;data model (format) ;model ;;t257;t250;
t163; linked data service ;data model (format) ;model ;;t257;t250;
t164; authority headings ;term list ;;;t252;;
t165; heading list type ;subject list ;term list ;;t264;t252;
t166; code list ;code list ;term list ;;t259;t252;
t167; code list ;code list ;term list ;;t259;t252;
t168; subject-matter domains ;enumerative classification ; classification (broad) ;classification ;t276;t261;t253
t169; structural metadata ;internal structure ; data model (format) ;model ;t277;t257;t250
t17; controlled vocabulary ;controlled resource ;;;t251;;
t170; code list ;code list ;term list ;;t259;t252;
t171; organisation scheme ;data model (format) ;model ;;t257;t250;
t172; category scheme and categorisation ;classification ;;;t253;;
t173; concept scheme ;code list ;term list ;;t259;t252;
t174; metadata set ;metadata model ; data model (format) ;model ;t273;t257;t250
t175; metadata structure definition ;internal structure ; data model (format) ;model ;t277;t257;t250
t176; structure set ;metadata model ; data model (format) ;model ;t273;t257;t250
t177; hierarchical code list ;alphanumeric classification ; classification (broad) ;classification ;t274;t261;t253
t178; code lists  ;code list ;term list ;;t259;t252;
t179; value vocabulary ;controlled resource ;;;t251;;
t18; schedule ;glossary ;term list ;;t263;t252;
t180; term list ;flat term list ;term list ;;t266;t252;
t181; authority files ;glossary ;term list ;;t263;t252;
t182; taxonomy ;taxonomy ; classification (broad) ;classification ;t271;t261;t253
t183; thesaurus ;thesauri ;classification ;;t265;t253;
t184; thesaurus ;thesauri ;classification ;;t265;t253;
t185; taxonomy  ;taxonomy ; classification (broad) ;classification ;t271;t261;t253
t186; value vocabulary ;controlled resource ;;;t251;;
t187; controlled format ;data model (format) ;model ;;t257;t250;
t188; vocabulary ;core model ; logical model ;model ;t272;t256;t250
t189; subject heading lists ;subject list ;term list ;;t264;t252;
t19; search thesaurus ;thesauri ;classification ;;t265;t253;
t190; controlled list ;classification ;;;t253;;
t191; synonym ring lists ;synonym ring ;term list ;;t267;t252;
t192; authority file ;term list ;;;t252;;
t193; taxonomy ;taxonomy ; classification (broad) ;classification ;t271;t261;t253
t194; alphanumeric classification schemes ;alphanumeric classification ; classification (broad) ;classification ;t274;t261;t253
t195; thesauri ;thesauri ;classification ;;t265;t253;
t196; ontology ;logical model ;model ;;t256;t250;
t197; folksonomy ;conceptual model ;model ;;t258;t250;
t198; flat term list ;flat term list ;term list ;;t266;t252;
