"term","definition","alt label","source","source cited","link source","notes"
"application profile","In the computer information sciences, an application profile consists of a set of metadata elements, policies, and guidelines defined for a particular application.","ap","Dublin Core","NISO TR-06-2017","http://www.dublincore.org/documents/2001/04/12/usageguide/glossary/",""
"Application Programming Interface","An Application Programming Interface (API) is a machine endpoint designed to provide programmatic, often high-level, access to data and/or virtual machines via a standardized protocol.","api","wikipedia","NISO TR-06-2017","https://en.wikipedia.org/wiki/Application_programming_interface",""
"Authority file","A set of established headings and the cross-references to be made to and from each heading, often citing the authority for the preferred form or variants. Types of authority file include name authority files and subject authority files.","value vocabulary","ANSI/NISO Z39 R2010","NISO TR-06-2017","https://groups.niso.org/apps/group_public/download.php/12591/z39-19-2005r2010.pdf",""
"Classification scheme","A method of organization according to a set of pre-established principles, usually characterized by a notation system and a hierarchical structure of relationships among the entities. NOTE: A classification scheme often also includes an index.","","ANSI/NISO Z39 R2010","NISO TR-06-2017","https://groups.niso.org/apps/group_public/download.php/12591/z39-19-2005r2010.pdf",""
"classification system","","","","","","Dewey Decimal Classification (DDC),  Universal Decimal Classification (UDC)"
"Controlled vocabulary","A list of terms that have been enumerated explicitly. This list is controlled by and is available from a controlled vocabulary registration authority. All terms in a controlled vocabulary must have an unambiguous, non-redundant definition. NOTE: This is a design goal that may not be true in practice; it depends on how strict the controlled vocabulary registration authority is regarding registration of terms into the controlled vocabulary.","","ANSI/NISO Z39 R2010","NISO TR-06-2017","https://groups.niso.org/apps/group_public/download.php/12591/z39-19-2005r2010.pdf",""
"Controlled vocabulary","Controlled vocabularies provide a way to organize knowledge for subsequent retrieval. They are used in subject indexingschemes, subject headings, thesauri,[1][2] taxonomies and other forms of knowledge organization systems. Controlled vocabulary schemes mandate the use of predefined, authorised terms that have been preselected by the designers of the schemes, in contrast to natural language vocabularies, which have no such restriction. There are two main kinds of controlled vocabulary tools used in libraries: subject headings and thesauri.","","wikipedia","","https://en.wikipedia.org/wiki/Controlled_vocabulary","thesauri and subject headings are subtypes of controlled vocabularies"
"element set","DCMES/ Dublin core element set","properties, elements, metadata element set","dublin core","NISO TR-06-2017","https://github.com/dcmi/repository/blob/master/mediawiki_wiki/User_Guide.md",""
"Exchange format","Exchange formatA machine-readable format for representing information, which is intended to facilitate exchange of the information between applications.","","ISO 25964","NISO TR-06-2017","https://www.niso.org/schemas/iso25964",""
"Knowledge Organization Systems (KOS)","Knowledge Organization Systems (KOS) is a generic term used in knowledge organization about authority files, classification schemes, thesauri, topic maps, ontologies etc.","","wikipedia","","https://en.wikipedia.org/wiki/Knowledge_organization_system",""
